楼盘名称,位置信息,户型,单价,总价
观湖园二期,蔡甸/后官湖/知音湖大道特9号,户型：4室建面 117-142㎡,15500,总价186万/套
鑫聚温莎半岛,蔡甸/后官湖/天鹅湖大道与温莎半岛路交汇,户型：4室/7室/10室建面 385-552㎡,26000,总价1000万/套
人民武汉国际汽车城,蔡甸/蔡甸其它/东风大道延长线与福康路交汇处,户型：1室/2室建面 48-83㎡,7500,总价30万/套
三和名仕城,蔡甸/蔡甸城区/汤家台特1号,户型：2室/3室建面 83-120㎡,9500,总价79万/套
三和剑桥城,蔡甸/蔡甸城区/蔡甸大街和西环路交汇处,,18500,总价80万/套
武汉院子,蔡甸/蔡甸其它/东风大道以西小奓湖北岸,户型：4室/5室建面 88-182㎡,26000,总价240万/套
华中文谷知音盛棠,蔡甸/后官湖/知音湖大道与五贤路交汇处向西500米（地铁蔡甸线知音站B出口）,户型：3室/6室/7室建面 190-1141㎡,25000,总价475万/套
状元府,蔡甸/蔡甸城区/蔡甸大街与公园路交汇处,,9400,总价95万/套
花博汇漫漫城,蔡甸/蔡甸城区/中核世纪广场旁,户型：2室/3室建面 45-90㎡,8000,总价30万/套
朗诗西海岸,蔡甸/中法生态城/天鹅湖大道后官湖畔,户型：3室建面 139-153㎡,11000,总价153万/套
楼盘名称,位置信息,户型,单价,总价
南益名士公馆,蔡甸/后官湖/全力北路和枫树六路交汇处（距离后官湖约70米）,户型：3室/4室建面 122-142㎡,12500,总价152万/套
力高雍湖湾,蔡甸/后官湖/知音湖大道文岭村公交站旁,户型：3室建面 95-195㎡,25000,总价252万/套
世茂龙湾国风十期,蔡甸/后官湖/知音湖大道特8号,户型：2室建面 92-132㎡,18000,总价166万/套
奥山首府,蔡甸/蔡甸其它/黄星大道奥山首府,户型：3室/4室建面 115-141㎡,8500,总价98万/套
奥山首府,蔡甸/蔡甸其它/黄星大道奥山首府,户型：6室建面 140㎡,15500,总价217万/套
德信江南大院,蔡甸/蔡甸城区/莲花湖大道与公园路交汇处,户型：3室/4室建面 100-121㎡,11000,总价102万/套
正商书香华府,蔡甸/蔡甸城区/蔡甸街成功大道与茂兴路交会处,户型：3室建面 88-130㎡,11166,总价98万/套
世茂龙湾国风十一期,蔡甸/后官湖/知音湖大道世茂龙湾国风十一期,户型：2室/3室建面 91-141㎡,23000,总价219万/套
景瑞天赋半岛,蔡甸/后官湖/五贤路西50米后官湖湿地公园旁,户型：2室/4室/5室/6室建面 89-189㎡,30000,总价430万/套
荣盛华庭,蔡甸/蔡甸城区/成功大道与西环路交汇处,户型：3室建面 96-132㎡,9424,总价99万/套
楼盘名称,位置信息,户型,单价,总价
华润置地公园里,蔡甸/蔡甸其它/黄陵大道与官莲湖路交汇处,户型：3室建面 88-103㎡,8500,总价75万/套
世茂龙湾国风十二期,蔡甸/后官湖/知音湖大道特1号,户型：3室/4室建面 94-107㎡,20000,总价179万/套
景瑞清能江南悦,蔡甸/蔡甸城区/蔡甸大街4号线新庙村站（C2出口）,户型：3室建面 95-108㎡,9300,总价88万/套
三和剑桥城,蔡甸/蔡甸城区/蔡甸大街和西环路交汇处,户型：2室建面 51㎡,8000,总价44万/套
中建锦绣双城,蔡甸/蔡甸城区/蔡甸大街中建锦绣双城,户型：3室/4室建面 107-160㎡,10389,总价112万/套
中国核建锦城,蔡甸/蔡甸城区/汉阳大道中核世纪广场对面,户型：3室建面 100-180㎡,9040,总价108万/套
